aaaamon.dll,Aaaa Monitor DLL
icwdial.dll,Internet Connection Wizard Autodialer
icwphbk.dll,Internet Connection Wizard
idndl.dll,Downlevel DLL
idq.dll,Indexing Service ISAPI Extension
ieakeng.dll,Internet Explorer Administration Kit Engine Library
ieaksie.dll,Internet Explorer Snap-in Extension to Group Policy
ieakui.dll,Microsoft IEAK Shared UI DLL
ieapfltr.dll,Microsoft SmartScreen Filter
iedkcs32.dll,IEAK branding
ieframe.dll,Internet Explorer
iepeers.dll,Internet Explorer Peer Objects
iernonce.dll,Extended RunOnce processing with UI
iertutil.dll,Run time utility for Internet Explorer
iesetup.dll,IOD Version Map
ieui.dll,Internet Explorer UI Engine
ifmon.dll,IF Monitor DLL
ifsutil.dll,IFS Utility DLL
igmpagnt.dll,Microsoft IGMP subagent
iissuba.dll,Microsoft IIS sub-authentication handler
ils.dll,User Location Services Component Module
imagehlp.dll,Windows NT Image Helper
imeshare.dll,Microsoft Office IME Shared property library.
imgutil.dll,IE plugin image decoder support DLL
imjp81k.dll,Microsoft IME
imm32.dll,Windows XP IMM32 API Client DLL
inetcfg.dll,Internet Connection Wizard Library
inetcomm.dll,Microsoft Internet Messaging API
inetcplc.dll,Internet Control Panel
inetmib1.dll,Microsoft MIB-II subagent
inetpp.dll,Internet Print Provider DLL
inetppui.dll,Internet Print Client DLL
inetres.dll,Microsoft Internet Messaging API Resources
infosoft.dll,Wordbreaker and stemmer dll
initpki.dll,Microsoft Trust Installation and Setup
input.dll,Text Input DLL
inseng.dll,Install engine
iologmsg.dll,IO Logging DLL
iphlpapi.dll,IP Helper API
ipmontr.dll,IP Router Monitor DLL
ipnathlp.dll,Microsoft NAT Helper Components
ippromon.dll,IP Protocols Monitor DLL
iprop.dll,OLE PropertySet Implementation
iprtprio.dll,IP Routing Protocol Priority DLL
iprtrmgr.dll,IP Router Manager
ipsecsnp.dll,Internet Protocol Security Policy Management Snap-in for Microsoft Windows 2000
ipsecsvc.dll,Windows IPSec SPD Server DLL
ipsmsnap.dll,IP Security Monitor Snapin
ipv6mon.dll,IPv6 Monitor DLL
ipxmontr.dll,IPX Router Monitor DLL
ipxpromn.dll,IPX Router Monitor DLL
ipxrip.dll,IPX RIP
ipxrtmgr.dll,IPX ROUTER MANAGER
ipxsap.dll,SAP Agent DLL
ipxwan.dll,IPXWAN
irclass.dll,Infrared Class Coinstaller
isign32.dll,Internet Signup
itircl.dll,Microsoft® InfoTech IR Local DLL
itss.dll,Microsoft® InfoTech Storage System Library
iuengine.dll,Windows Update Control Engine
