CertEnrollUI.dll,X509 Certificate Enrollment UI
CertPolEng.dll,Certificate Policy Engine
CscMig.dll,Microsoft Offline Files Migration Plugin
cabinet.dll,Microsoft® Cabinet File API
cabview.dll,Cabinet File Viewer Shell Extension
capiprovider.dll,capiprovider DLL
capisp.dll,Sysprep cleanup dll for CAPI
catsrv.dll,COM+ Configuration Catalog Server
catsrvps.dll,COM+ Configuration Catalog Server Proxy/Stub
catsrvut.dll,COM+ Configuration Catalog Server Utilities
cca.dll,CCA DirectShow Filter.
cdd.dll,Canonical Display Driver
cdosys.dll,Microsoft CDO for Windows Library
certCredProvider.dll,Cert Credential Provider
certcli.dll,Microsoft® Active Directory Certificate Services Client
certenc.dll,Active Directory Certificate Services Encoding
certmgr.dll,Certificates snap-in
certprop.dll,Microsoft Smartcard Certificate Propagation Service
cewmdm.dll,Windows CE WMDM Service Provider
cfgbkend.dll,Configuration Backend Interface
cfgmgr32.dll,Configuration Manager DLL
chkwudrv.dll,Search Windows Update for Drivers
chsbrkr.dll,Simplified Chinese Word Breaker
chtbrkr.dll,Chinese Traditional Word Breaker
ci.dll,Code Integrity Module
cic.dll,CIC - MMC controls for Taskpad
clb.dll,Column List Box
clbcatq.dll,COM+ Configuration Catalog
clfsw32.dll,Common Log Marshalling Win32 DLL
cliconfg.dll,SQL Client Configuration Utility DLL
clusapi.dll,Cluster API Library
cmcfg32.dll,Microsoft Connection Manager Configuration Dll
cmdial32.dll,Microsoft Connection Manager
cmicryptinstall.dll,Installers for cryptographic elements of CMI objects
cmifw.dll,Windows Firewall rule configuration plug-in
cmipnpinstall.dll,PNP plugin installer for CMI
cmlua.dll,Connection Manager Admin API Helper
cmncliM.dll,Common Client Library
cmpbk32.dll,Microsoft Connection Manager Phonebook
cmstplua.dll,Connection Manager Admin API Helper for Setup
cmutil.dll,Microsoft Connection Manager Utility Lib
cngaudit.dll,Windows Cryptographic Next Generation audit library
cngprovider.dll,cngprovider DLL
cnvfat.dll,FAT File System Conversion Utility DLL
cofiredm.dll,Corrupted File Recovery Diagnostic Module
colbact.dll,COM+
colorui.dll,Microsoft Color Control Panel
comcat.dll,Microsoft Component Category Manager Library
comctl32.dll,Common Controls Library
comdlg32.dll,Common Dialogs DLL
compstui.dll,Common Property Sheet User Interface DLL
comrepl.dll,COM+
comres.dll,COM+ Resources
comsnap.dll,COM+ Explorer MMC Snapin
comsvcs.dll,COM+ Services
comuid.dll,COM+ Explorer UI
connect.dll,Get Connected Wizards
console.dll,Control Panel Console Applet
corpol.dll,Microsoft COM Runtime Execution Engine
correngine.dll,Correlation Engine
credssp.dll,Credential Delegation Security Package
credui.dll,Credential Manager User Interface
crtdll.dll,Microsoft C Runtime Library
crypt32.dll,Crypto API32
cryptbase.dll,Base cryptographic API DLL
cryptdlg.dll,Microsoft Common Certificate Dialogs
cryptdll.dll,Cryptography Manager
cryptext.dll,Crypto Shell Extensions
cryptnet.dll,Crypto Network Related API
cryptsp.dll,Cryptographic Service Provider API
cryptsvc.dll,Cryptographic Services
cryptui.dll,Microsoft Trust UI Provider
cryptxml.dll,XML DigSig API
cscapi.dll,Offline Files Win32 API
cscdll.dll,Offline Files Temporary Shim
cscobj.dll,In-proc COM object used by clients of CSC API
cscsvc.dll,CSC Service DLL
cscui.dll,Client Side Caching UI
csrsrv.dll,Client Server Runtime Process
ctl3d32.dll,Ctl3D 3D Windows Controls
DDACLSys.dll,SysPrep module for Reseting Data Drive ACL
DDOIProxy.dll,DDOI Interface Proxy
DDORes.dll,Device Category information and resources
DHCPQEC.DLL,Microsoft DHCP NAP Enforcement Client
DShowRdpFilter.dll,RDP Renderer Filter (redirector)
DWrite.dll,Microsoft DirectX Typography Services
DXP.dll,Device Stage Shell Extension
DXPTaskRingtone.dll,Microsoft Ringtone Editor
DeviceCenter.dll,Device Center
DeviceDisplayStatusManager.dll,Device Display Status Manager
DeviceMetadataParsers.dll,Common Device Metadata parsers
DevicePairing.dll,Shell extensions for Device Pairing
DevicePairingFolder.dll,Device Pairing Folder
DevicePairingHandler.dll,Device Pairing Handler Dll
DevicePairingProxy.dll,Device Pairing Proxy Dll
DeviceUxRes.dll,Windows Device User Experience Resource File
DfsShlEx.dll,Distributed File System shell extension
DiagCpl.dll,Troubleshooting Control Panel
Display.dll,Display Control Panel
DocumentPerformanceEvents.dll,Documents and Printing Performance Events
DxpTaskSync.dll,Microsoft Windows DXP Sync.
d2d1.dll,Microsoft D2D Library
d3d10.dll,Direct3D 10 Runtime
d3d10_1.dll,Direct3D 10.1 Runtime
d3d10_1core.dll,Direct3D 10.1 Runtime
d3d10core.dll,Direct3D 10 Runtime
d3d10level9.dll,Direct3D 10 to Direct3D9 Translation Runtime
d3d10warp.dll,Direct3D 10 Rasterizer
d3d11.dll,Direct3D 11 Runtime
d3d8.dll,Microsoft Direct3D
d3d8thk.dll,Microsoft Direct3D OS Thunk Layer
d3d9.dll,Direct3D 9 Runtime
d3dim.dll,Microsoft Direct3D
d3dim700.dll,Microsoft Direct3D
d3dramp.dll,Microsoft Direct3D
d3dxof.dll,DirectX Files DLL
dataclen.dll,Disk Space Cleaner for Windows
davclnt.dll,Web DAV Client DLL
davhlpr.dll,DAV Helper DLL
dbgeng.dll,Windows Symbolic Debugger Engine
dbghelp.dll,Windows Image Helper
dbnetlib.dll,Winsock Oriented Net DLL for SQL Clients
dbnmpntw.dll,Named Pipes Net DLL for SQL Clients
dciman32.dll,DCI Manager
ddraw.dll,Microsoft DirectDraw
ddrawex.dll,Direct Draw Ex
defaultlocationcpl.dll,Default Location Control Panel
defragproxy.dll,Microsoft® Disk Defragmenter Proxy Library
defragsvc.dll,Microsoft\Disk Defragmenter
deskadp.dll,Advanced display adapter properties
deskmon.dll,Advanced display monitor properties
deskperf.dll,Advanced display performance properties
devenum.dll,Device enumeration.
devmgr.dll,Device Manager MMC Snapin
devobj.dll,Device Information Set DLL
devrtl.dll,Device Management Run Time Library
dfdts.dll,Windows Disk Failure Diagnostic Module
dfscli.dll,Windows NT Distributed File System Client DLL
dfshim.dll,Application Deployment Support Library
dhcpcmonitor.dll,DHCP Client Monitor Dll
dhcpcore.dll,DHCP Client Service
dhcpcore6.dll,DHCPv6 Client
